ID,Player,Age,Season,Market Value,Club,Nationality,Position,days_injured,injuries,games_missed,premier_league_appearances,premier_league_goals,premier_league_assists,premier_league_own_goals,premier_league_substitutions_on,premier_league_substitutions_off,premier_league_yellow_cards,premier_league_second_yellow_cards,premier_league_red_cards,premier_league_penalty_goals,premier_league_minutes_per_goal,premier_league_minutes_played,laliga_appearances,laliga_goals,laliga_assists,laliga_own_goals,laliga_substitutions_on,laliga_substitutions_off,laliga_yellow_cards,laliga_second_yellow_cards,laliga_red_cards,laliga_penalty_goals,laliga_minutes_per_goal,laliga_minutes_played,bundesliga_appearances,bundesliga_goals,bundesliga_assists,bundesliga_own_goals,bundesliga_substitutions_on,bundesliga_substitutions_off,bundesliga_yellow_cards,bundesliga_second_yellow_cards,bundesliga_red_cards,bundesliga_penalty_goals,bundesliga_minutes_per_goal,bundesliga_minutes_played,serie_a_appearances,serie_a_goals,serie_a_assists,serie_a_own_goals,serie_a_substitutions_on,serie_a_substitutions_off,serie_a_yellow_cards,serie_a_second_yellow_cards,serie_a_red_cards,serie_a_penalty_goals,serie_a_minutes_per_goal,serie_a_minutes_played,ligue_1_appearances,ligue_1_goals,ligue_1_assists,ligue_1_own_goals,ligue_1_substitutions_on,ligue_1_substitutions_off,ligue_1_yellow_cards,ligue_1_second_yellow_cards,ligue_1_red_cards,ligue_1_penalty_goals,ligue_1_minutes_per_goal,ligue_1_minutes_played,uefa_champions_league_appearances,uefa_champions_league_goals,uefa_champions_league_assists,uefa_champions_league_own_goals,uefa_champions_league_substitutions_on,uefa_champions_league_substitutions_off,uefa_champions_league_yellow_cards,uefa_champions_league_second_yellow_cards,uefa_champions_league_red_cards,uefa_champions_league_penalty_goals,uefa_champions_league_minutes_per_goal,uefa_champions_league_minutes_played,europa_league_appearances,europa_league_goals,europa_league_assists,europa_league_own_goals,europa_league_substitutions_on,europa_league_substitutions_off,europa_league_yellow_cards,europa_league_second_yellow_cards,europa_league_red_cards,europa_league_penalty_goals,europa_league_minutes_per_goal,europa_league_minutes_played,other_competitions_appearances,other_competitions_goals,other_competitions_assists,other_competitions_own_goals,other_competitions_substitutions_on,other_competitions_substitutions_off,other_competitions_yellow_cards,other_competitions_second_yellow_cards,other_competitions_red_cards,other_competitions_penalty_goals,other_competitions_minutes_per_goal,other_competitions_minutes_played
126414,Hakan Çalhanoğlu,20,14/15,16500000,Bayer 04 Leverkusen,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,7,0,2,16,3,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,2,1,0,0,1,370,740,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,0,1,2,0,0,0,0,316,454
126414,Hakan Çalhanoğlu,22,15/16,18000000,Bayer 04 Leverkusen,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,21,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,6,0,4,13,1,0,0,1,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,0,0,3,1,0,0,1,252,504,4,1,0,0,0,0,1,0,0,0,360,360,5,2,0,0,0,4,1,0,0,1,391,391
126414,Hakan Çalhanoğlu,22,16/17,20000000,Bayer 04 Leverkusen,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,5,0,1,3,1,0,0,1,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,1,3,1,0,0,0,357,357,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,16
126414,Hakan Çalhanoğlu,23,17/18,17500000,AC Milan,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,38,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,9,0,6,9,5,1,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,0,0,4,0,0,0,0,306,612,6,0,1,0,3,1,0,0,0,0,0,375
126414,Hakan Çalhanoğlu,24,17/18,22000000,AC Milan,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,38,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,9,0,6,9,5,1,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,0,0,4,0,0,0,0,306,612,6,0,1,0,3,1,0,0,0,0,0,375
126414,Hakan Çalhanoğlu,24,18/19,22000000,AC Milan,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,15,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,6,0,2,15,3,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,2,1,2,0,0,0,315,315,5,0,1,0,3,0,1,0,0,0,0,334
126414,Hakan Çalhanoğlu,25,19/20,18000000,AC Milan,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,14,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9,9,0,1,15,6,0,0,1,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,0,0,0,0,108,215
126414,Hakan Çalhanoğlu,26,19/20,14500000,AC Milan,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,14,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9,9,0,1,15,6,0,0,1,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,0,0,0,0,108,215
126414,Hakan Çalhanoğlu,26,20/21,29300000,AC Milan,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,32,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,10,0,3,17,4,0,0,1,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,2,2,0,0,0,0,355,355,4,4,2,0,1,1,0,0,0,1,73,368
126414,Hakan Çalhanoğlu,27,20/21,35000000,AC Milan,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,32,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,10,0,3,17,4,0,0,1,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,2,2,0,0,0,0,355,355,4,4,2,0,1,1,0,0,0,1,73,368
126414,Hakan Çalhanoğlu,27,21/22,32500000,Inter Milan,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,13,0,1,26,11,0,0,3,358,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,4,0,0,0,0,0,419,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,2,2,0,0,0,1,313,433
126414,Hakan Çalhanoğlu,28,22/23,35000000,Inter Milan,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,40,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,6,0,5,16,3,0,0,1,791,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,2,0,3,6,1,0,0,0,807,807,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1,0,0,0,0,321
126414,Hakan Çalhanoğlu,29,23/24,40000000,Inter Milan,"['Türkiye', 'Germany']",Midfield - Defensive Midfield,25,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,13,3,0,0,20,5,0,0,10,198,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,4,2,0,0,1,513,513,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,1,171,171
