ID,Player,Age,Season,Market Value,Club,Nationality,Position,days_injured,injuries,games_missed,appearances,own_goals,assists,substitutions_on,substitutions_off,second_yellow_cards,red_cards,penalty_goals,minutes_per_goal,minutes_played,goals,yellow_cards
148455,Mohamed Salah,19,11-Dec,900000,El Mokawloon SC,['Egypt'],Attack - Right Winger,0,0,0,15,0,3,0,2,0,0,0,188,0,7,1
148455,Mohamed Salah,20,Dec-13,4500000,FC Basel 1893,['Egypt'],Attack - Right Winger,21,1,5,50,0,11,24,12,0,0,0,878,1402,10,2
148455,Mohamed Salah,21,13/14,10800000,FC Basel 1893,['Egypt'],Attack - Right Winger,0,0,0,40,0,7,11,18,0,0,0,988,1475,12,4
148455,Mohamed Salah,22,14/15,11700000,Chelsea FC,['Egypt'],Attack - Right Winger,7,1,1,34,0,6,10,13,0,0,0,952,2131,9,1
148455,Mohamed Salah,23,15/16,21000000,AS Roma,['Egypt'],Attack - Right Winger,28,1,6,42,0,7,3,19,1,0,0,739,663,15,1
148455,Mohamed Salah,24,16/17,30000000,AS Roma,['Egypt'],Attack - Right Winger,14,1,3,41,0,15,4,18,0,0,0,433,699,19,2
148455,Mohamed Salah,25,17/18,90000000,Liverpool FC,['Egypt'],Attack - Right Winger,18,1,2,52,0,15,3,25,0,0,1,454,1199,44,1
148455,Mohamed Salah,26,18/19,150000000,Liverpool FC,['Egypt'],Attack - Right Winger,11,2,2,52,0,10,3,15,0,0,5,360,23,27,2
148455,Mohamed Salah,27,19/20,135000000,Liverpool FC,['Egypt'],Attack - Right Winger,27,2,4,48,0,13,3,16,0,0,3,335,1173,23,2
148455,Mohamed Salah,28,20/21,115000000,Liverpool FC,['Egypt'],Attack - Right Winger,11,1,3,51,0,6,4,13,0,0,7,325,1096,31,0
148455,Mohamed Salah,29,21/22,100000000,Liverpool FC,['Egypt'],Attack - Right Winger,0,0,0,51,0,15,6,12,0,0,6,246,243,31,1
148455,Mohamed Salah,30,22/23,75000000,Liverpool FC,['Egypt'],Attack - Right Winger,0,0,0,51,0,16,3,11,0,0,4,631,1004,30,2
148455,Mohamed Salah,31,23/24,60000000,Liverpool FC,['Egypt'],Attack - Right Winger,39,2,12,44,0,14,10,10,0,0,7,418,596,25,2
159471,Serge Gnabry,18,13/14,3000000,Arsenal FC,"['Germany', ""Cote d'Ivoire""]",Attack - Left Winger,200,3,72,19,0,3,6,9,0,0,0,599,1164,7,0
159471,Serge Gnabry,19,14/15,4000000,Arsenal FC,"['Germany', ""Cote d'Ivoire""]",Attack - Left Winger,0,0,0,8,0,2,0,2,0,0,0,222,667,3,0
159471,Serge Gnabry,20,15/16,3000000,Arsenal FC,"['Germany', ""Cote d'Ivoire""]",Attack - Left Winger,0,0,0,12,0,1,1,6,0,0,0,328,883,2,0
159471,Serge Gnabry,21,16/17,5800000,Arsenal FC,"['Germany', ""Cote d'Ivoire""]",Attack - Left Winger,43,5,12,27,0,2,4,11,0,0,1,179,0,11,1
159471,Serge Gnabry,22,17/18,16500000,TSG 1899 Hoffenheim,"['Germany', ""Cote d'Ivoire""]",Attack - Left Winger,138,4,21,27,0,8,4,16,0,0,0,152,288,10,1
159471,Serge Gnabry,23,18/19,38300000,Bayern Munich,"['Germany', ""Cote d'Ivoire""]",Attack - Left Winger,71,5,10,42,0,9,12,25,0,0,0,285,771,13,1
159471,Serge Gnabry,24,19/20,80700000,Bayern Munich,"['Germany', ""Cote d'Ivoire""]",Attack - Left Winger,28,4,4,46,0,14,7,22,0,0,0,458,1143,23,2
159471,Serge Gnabry,25,20/21,80000000,Bayern Munich,"['Germany', ""Cote d'Ivoire""]",Attack - Left Winger,48,4,13,38,0,7,11,21,0,0,0,256,733,11,5
159471,Serge Gnabry,26,21/22,70000000,Bayern Munich,"['Germany', ""Cote d'Ivoire""]",Attack - Left Winger,23,4,6,45,0,9,13,22,0,0,0,286,559,17,0
159471,Serge Gnabry,27,22/23,60000000,Bayern Munich,"['Germany', ""Cote d'Ivoire""]",Attack - Left Winger,39,3,5,47,0,12,19,15,0,0,1,386,632,17,0
159471,Serge Gnabry,28,23/24,42500000,Bayern Munich,"['Germany', ""Cote d'Ivoire""]",Attack - Left Winger,190,6,33,20,0,2,10,10,0,0,0,244,764,5,0
161056,Joshua Kimmich,18,13/14,400000,RB Leipzig,['Germany'],Midfield - Defensive Midfield,4,1,1,28,0,2,1,19,0,0,0,62,124,2,8
161056,Joshua Kimmich,19,14/15,3200000,RB Leipzig,['Germany'],Midfield - Defensive Midfield,27,2,16,29,0,2,4,8,0,0,0,0,210,2,4
161056,Joshua Kimmich,21,15/16,9000000,Bayern Munich,['Germany'],Midfield - Defensive Midfield,7,2,1,36,0,2,11,4,0,0,0,0,1005,0,6
161056,Joshua Kimmich,21,16/17,25000000,Bayern Munich,['Germany'],Midfield - Defensive Midfield,4,1,1,40,0,2,20,8,0,0,0,364,550,9,1
161056,Joshua Kimmich,22,17/18,40000000,Bayern Munich,['Germany'],Midfield - Defensive Midfield,7,3,1,47,0,17,4,5,0,0,0,794,1557,6,4
161056,Joshua Kimmich,23,17/18,55000000,Bayern Munich,['Germany'],Midfield - Defensive Midfield,7,3,1,47,0,17,4,5,0,0,0,794,1557,6,4
161056,Joshua Kimmich,23,18/19,60000000,Bayern Munich,['Germany'],Midfield - Defensive Midfield,0,0,0,48,0,19,1,0,0,0,0,0,1221,2,7
161056,Joshua Kimmich,24,19/20,80000000,Bayern Munich,['Germany'],Midfield - Defensive Midfield,0,0,0,51,0,17,2,5,0,0,0,1697,1533,7,12
161056,Joshua Kimmich,25,19/20,64000000,Bayern Munich,['Germany'],Midfield - Defensive Midfield,0,0,0,51,0,17,2,5,0,0,0,1697,1533,7,12
161056,Joshua Kimmich,25,20/21,85000000,Bayern Munich,['Germany'],Midfield - Defensive Midfield,50,2,14,39,0,14,2,6,0,0,0,1256,1127,6,6
161056,Joshua Kimmich,26,20/21,90000000,Bayern Munich,['Germany'],Midfield - Defensive Midfield,50,2,14,39,0,14,2,6,0,0,0,1256,1127,6,6
161056,Joshua Kimmich,26,21/22,85000000,Bayern Munich,['Germany'],Midfield - Defensive Midfield,56,3,10,39,0,12,0,6,0,0,0,826,927,3,5
161056,Joshua Kimmich,27,22/23,80000000,Bayern Munich,['Germany'],Midfield - Defensive Midfield,5,1,1,47,0,11,1,5,1,0,2,1711,1238,7,8
161056,Joshua Kimmich,28,23/24,75000000,Bayern Munich,['Germany'],Midfield - Defensive Midfield,28,4,6,43,0,10,1,11,0,1,0,0,231,2,3
161056,Joshua Kimmich,29,23/24,55000000,Bayern Munich,['Germany'],Midfield - Defensive Midfield,28,4,6,43,0,10,1,11,0,1,0,0,231,2,3
177476,Nathan Aké,19,14/15,1500000,Chelsea FC,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,35,1,10,13,0,1,3,1,0,0,0,0,957,0,2
177476,Nathan Aké,20,15/16,4500000,Watford FC,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,0,0,0,28,0,0,4,1,0,1,0,0,360,1,4
177476,Nathan Aké,21,16/17,5000000,AFC Bournemouth,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,0,0,0,17,0,1,3,0,0,0,0,277,1311,3,1
177476,Nathan Aké,22,16/17,8000000,Chelsea FC,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,0,0,0,17,0,1,3,0,0,0,0,277,1311,3,1
177476,Nathan Aké,22,17/18,13500000,AFC Bournemouth,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,12,1,2,40,0,3,2,1,0,0,0,0,96,2,5
177476,Nathan Aké,23,17/18,15000000,AFC Bournemouth,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,12,1,2,40,0,3,2,1,0,0,0,0,96,2,5
177476,Nathan Aké,23,18/19,25000000,AFC Bournemouth,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,7,2,0,39,0,0,0,1,0,0,0,853,90,4,3
177476,Nathan Aké,24,18/19,28000000,AFC Bournemouth,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,7,2,0,39,0,0,0,1,0,0,0,853,90,4,3
177476,Nathan Aké,24,19/20,35000000,AFC Bournemouth,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,52,2,7,30,0,2,0,2,0,0,0,0,90,2,2
177476,Nathan Aké,25,19/20,28000000,AFC Bournemouth,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,52,2,7,30,0,2,0,2,0,0,0,0,90,2,2
177476,Nathan Aké,25,20/21,40000000,Manchester City,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,117,4,31,13,0,0,2,1,0,0,0,797,993,1,4
177476,Nathan Aké,26,20/21,33500000,Manchester City,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,117,4,31,13,0,0,2,1,0,0,0,797,993,1,4
177476,Nathan Aké,26,21/22,28000000,Manchester City,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,0,0,0,27,0,0,8,5,0,0,0,781,1739,3,2
177476,Nathan Aké,27,21/22,25000000,Manchester City,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,0,0,0,27,0,0,8,5,0,0,0,781,1739,3,2
177476,Nathan Aké,27,22/23,30000000,Manchester City,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,32,2,9,41,0,0,8,8,0,0,0,318,1016,3,3
177476,Nathan Aké,28,22/23,35000000,Manchester City,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,32,2,9,41,0,0,8,8,0,0,0,318,1016,3,3
177476,Nathan Aké,28,23/24,40000000,Manchester City,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,12,1,4,44,0,2,9,9,0,0,0,302,1013,3,0
177476,Nathan Aké,29,23/24,40000000,Manchester City,"['Netherlands', ""Cote d'Ivoire""]",Defender - Centre-Back,12,1,4,44,0,2,9,9,0,0,0,302,1013,3,0
181767,Marquinhos,17,11-Dec,200000,Sport Club Corinthians Paulista,"['Brazil', 'Portugal']",Defender - Centre-Back,0,0,0,14,0,1,1,1,0,0,0,0,1147,0,2
181767,Marquinhos,18,11-Dec,200000,Sport Club Corinthians Paulista,"['Brazil', 'Portugal']",Defender - Centre-Back,0,0,0,14,0,1,1,1,0,0,0,0,1147,0,2
181767,Marquinhos,18,Dec-13,7500000,AS Roma,"['Brazil', 'Portugal']",Defender - Centre-Back,59,5,10,30,0,0,4,1,0,1,0,0,360,0,0
181767,Marquinhos,19,13/14,25000000,Paris Saint-Germain,"['Brazil', 'Portugal']",Defender - Centre-Back,14,1,3,32,0,1,6,1,0,0,0,1004,830,5,3
181767,Marquinhos,20,14/15,25000000,Paris Saint-Germain,"['Brazil', 'Portugal']",Defender - Centre-Back,42,2,9,42,0,0,4,1,0,0,0,937,1560,2,3
181767,Marquinhos,21,15/16,30000000,Paris Saint-Germain,"['Brazil', 'Portugal']",Defender - Centre-Back,41,3,9,43,0,0,10,2,0,0,0,370,1180,2,1
181767,Marquinhos,22,16/17,32000000,Paris Saint-Germain,"['Brazil', 'Portugal']",Defender - Centre-Back,0,0,0,44,0,0,2,0,0,0,0,1283,1350,4,3
181767,Marquinhos,23,17/18,47500000,Paris Saint-Germain,"['Brazil', 'Portugal']",Defender - Centre-Back,17,3,4,41,0,3,1,2,0,0,0,540,1350,2,2
181767,Marquinhos,24,18/19,60000000,Paris Saint-Germain,"['Brazil', 'Portugal']",Defender - Centre-Back,13,1,3,44,0,2,1,3,0,1,0,1528,1166,4,3
181767,Marquinhos,25,19/20,58500000,Paris Saint-Germain,"['Brazil', 'Portugal']",Defender - Centre-Back,28,2,8,37,0,1,4,5,0,0,0,1319,1571,6,4
181767,Marquinhos,26,20/21,70000000,Paris Saint-Germain,"['Brazil', 'Portugal']",Defender - Centre-Back,61,6,14,40,0,1,2,4,0,0,0,982,1178,6,3
181767,Marquinhos,27,21/22,75000000,Paris Saint-Germain,"['Brazil', 'Portugal']",Defender - Centre-Back,35,1,3,40,0,1,0,1,0,0,0,572,720,5,5
181767,Marquinhos,28,21/22,70000000,Paris Saint-Germain,"['Brazil', 'Portugal']",Defender - Centre-Back,35,1,3,40,0,1,0,1,0,0,0,572,720,5,5
181767,Marquinhos,28,22/23,70000000,Paris Saint-Germain,"['Brazil', 'Portugal']",Defender - Centre-Back,9,2,2,44,1,1,3,6,0,0,0,0,925,2,4
181767,Marquinhos,29,23/24,57500000,Paris Saint-Germain,"['Brazil', 'Portugal']",Defender - Centre-Back,60,3,14,36,0,2,3,7,0,0,0,0,1335,0,3
182906,Mike Maignan,18,13/14,200000,Paris Saint-Germain,"['France', 'French Guiana']",Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182906,Mike Maignan,19,14/15,200000,Paris Saint-Germain,"['France', 'French Guiana']",Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182906,Mike Maignan,20,15/16,1000000,LOSC Lille,"['France', 'French Guiana']",Goalkeeper,113,1,23,0,0,0,0,0,0,0,0,0,0,0,0
182906,Mike Maignan,21,16/17,800000,LOSC Lille,"['France', 'French Guiana']",Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182906,Mike Maignan,22,17/18,2900000,LOSC Lille,"['France', 'French Guiana']",Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182906,Mike Maignan,23,18/19,9300000,LOSC Lille,"['France', 'French Guiana']",Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182906,Mike Maignan,24,19/20,20500000,LOSC Lille,"['France', 'French Guiana']",Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182906,Mike Maignan,25,20/21,22500000,LOSC Lille,"['France', 'French Guiana']",Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182906,Mike Maignan,26,21/22,25000000,AC Milan,"['France', 'French Guiana']",Goalkeeper,44,1,11,0,0,0,0,0,0,0,0,0,0,0,0
182906,Mike Maignan,27,22/23,35000000,AC Milan,"['France', 'French Guiana']",Goalkeeper,155,2,31,0,0,0,0,0,0,0,0,0,0,0,0
182906,Mike Maignan,28,23/24,42500000,AC Milan,"['France', 'French Guiana']",Goalkeeper,47,5,10,0,0,0,0,0,0,0,0,0,0,0,0
186590,John Stones,17,11-Dec,0,Barnsley FC U18,['England'],Defender - Centre-Back,0,0,0,2,0,0,2,0,0,0,0,0,53,0,0
186590,John Stones,18,Dec-13,1800000,Barnsley FC,['England'],Defender - Centre-Back,0,0,0,38,0,1,4,4,0,0,0,175,1400,1,1
186590,John Stones,19,13/14,4000000,Everton FC,['England'],Defender - Centre-Back,0,0,0,26,0,0,6,1,0,0,0,0,480,0,2
186590,John Stones,20,14/15,8500000,Everton FC,['England'],Defender - Centre-Back,66,1,29,28,0,0,1,1,0,1,0,0,382,1,1
186590,John Stones,21,15/16,27500000,Everton FC,['England'],Defender - Centre-Back,24,1,5,41,0,0,3,4,0,0,0,0,638,0,4
186590,John Stones,22,16/17,32700000,Everton FC,['England'],Defender - Centre-Back,0,0,0,41,0,0,5,4,0,0,0,917,1157,2,1
186590,John Stones,23,17/18,45000000,Manchester City,['England'],Defender - Centre-Back,74,3,17,29,0,0,3,5,0,0,0,150,930,3,0
186590,John Stones,24,17/18,50000000,Manchester City,['England'],Defender - Centre-Back,74,3,17,29,0,0,3,5,0,0,0,150,930,3,0
186590,John Stones,24,18/19,60000000,Manchester City,['England'],Defender - Centre-Back,64,3,13,39,0,1,7,6,0,0,0,0,1058,0,1
186590,John Stones,25,19/20,47000000,Manchester City,['England'],Defender - Centre-Back,67,3,18,24,0,1,8,1,0,0,0,0,437,0,0
186590,John Stones,26,20/21,27500000,Manchester City,['England'],Defender - Centre-Back,20,3,6,35,0,0,4,0,0,1,0,574,931,5,0
186590,John Stones,27,20/21,30000000,Manchester City,['England'],Defender - Centre-Back,20,3,6,35,0,0,4,0,0,1,0,574,931,5,0
186590,John Stones,27,21/22,28000000,Manchester City,['England'],Defender - Centre-Back,0,0,0,27,1,0,3,3,0,0,0,315,1042,2,1
186590,John Stones,28,22/23,30000000,Manchester City,['England'],Defender - Centre-Back,57,2,13,34,1,3,3,8,0,0,0,1610,850,3,2
186590,John Stones,29,23/24,38000000,Manchester City,['England'],Defender - Centre-Back,52,1,12,28,0,2,6,9,0,0,0,0,795,1,2
187492,Julian Brandt,17,13/14,800000,Bayer 04 Leverkusen,['Germany'],Midfield - Attacking Midfield,0,0,0,29,0,15,8,8,0,0,0,588,744,9,2
